he,ru,he,ru
иврит,русский,לכתוב,писать
иврит,русский,לקרוא,читать
иврит,русский,לדבר,говорить
иврит,русский,ללכת,идти
иврит,русский,לבוא,приходить
иврит,русский,לאכול,есть
иврит,русский,לשבת,сидеть
иврит,русский,לעבוד,работать
иврит,русский,ללמוד,учиться
иврит,русский,לרקוד,танцевать
иврит,русский,לשיר,петь
иврит,русский,לשחק,играть
иврит,русский,לחזור,возвращаться
иврит,русский,לשמור,хранить
иврит,русский,לעשות,делать
иврит,русский,לבנות,строить
иврит,русский,לפתוח,открывать
иврит,русский,לסגור,закрывать
иврит,русский,לשתות,пить
иврит,русский,לרצות,хотеть
иврит,русский,לשכוח,забывать
иврит,русский,למצוא,находить
иврит,русский,לקבל,получать
иврит,русский,לתת,давать
иврит,русский,לקחת,брать
иврит,русский,להביא,приносить
иврит,русский,לסיים,заканчивать
иврит,русский,לשכב,лежать
иврит,русский,לעמוד,стоять
иврит,русский,לבקש,просить
иврит,русский,לחכות,ждать
иврит,русский,לנגן,играть на инструменте
иврит,русский,לטייל,путешествовать
иврит,русский,לרחוץ,мыть
иврит,русский,לכבס,стирать
иврит,русский,לחלום,мечтать
иврит,русский,לצעוק,кричать
иврит,русский,לצחוק,смеяться
иврит,русский,לבכות,плакать
иврит,русский,לחייך,улыбаться
иврит,русский,לצייר,рисовать
иврит,русский,לנשום,дышать
иврит,русский,לשמוע,слышать
иврит,русский,לראות,видеть
иврит,русский,לדעת,знать
иврит,русский,לחשוב,думать
иврит,русский,לנסוע,ехать
иврит,русский,לעלות,подниматься
иврит,русский,לרדת,спускаться
иврит,русский,לשבור,ломать
иврит,русский,לברוח,убегать
иврит,русский,לבחור,выбирать
иврит,русский,לעזור,помогать
иврит,русский,להסביר,объяснять
иврит,русский,להאמין,верить
иврит,русский,לאהוב,любить
иврит,русский,לשנוא,ненавидеть
иврит,русский,לחלות,болеть
иврит,русский,לנוח,отдыхать
иврит,русский,לשחק,играть
иврит,русский,להבין,понимать
иврит,русский,להרגיש,чувствовать
иврит,русский,להתחיל,начинать
иврит,русский,להפסיק,переставать
иврит,русский,לסבול,страдать
иврит,русский,להשתמש,пользоваться
иврит,русский,לנצל,использовать
иврит,русский,להתרחץ,мыться
иврит,русский,להתלבש,одеваться
иврит,русский,להתגלח,бриться
иврит,русский,להתחתן,жениться
иврит,русский,להתאהב,влюбляться
иврит,русский,להתנהג,вести себя
иврит,русский,להשתגע,сходить с ума
иврит,русский,להתפלא,удивляться
иврит,русский,להסתדר,ладить
иврит,русский,להתעניין,интересоваться
иврит,русский,להשתתף,участвовать
иврит,русский,להתרגז,сердиться
иврит,русский,להתקרב,приближаться
иврит,русский,להתרחק,удаляться
иврит,русский,להתעמל,упражняться
иврит,русский,להסתכל,смотреть
иврит,русский,להסכים,соглашаться
иврит,русский,להשתפר,улучшаться
иврит,русский,להתקדם,продвигаться
иврит,русский,להתלונן,жаловаться
иврит,русский,להתרגל,привыкать
иврит,русский,להשתחרר,освобождаться
иврит,русский,להתפטר,увольняться
иврит,русский,להתקשר,связываться
иврит,русский,להתארח,гостить
иврит,русский,להתכונן,готовиться
иврит,русский,להתרחב,расширяться
иврит,русский,להצטמצם,сокращаться
иврит,русский,להתעורר,просыпаться
иврит,русский,להתנצל,извиняться
иврит,русский,להשתדל,стараться
иврит,русский,להתאים,подходить
иврит,русский,להתפשר,компромиссировать
